Comp,Att,Pct,Yds,Avg,Lng,TD,Int,Sck,Rate
243,384,63.3,3272,8.5,93,24,11,19,149.8
262,414,63.3,3233,7.8,78,31,7,8,150.2
269,440,61.1,3208,7.3,75,17,13,28,129.2
209,373,56.0,3203,8.6,54,28,15,27,144.9
257,415,61.9,3184,7.7,78,19,10,24,136.7
280,478,58.6,3182,6.7,58,22,9,38,125.9
293,460,63.7,3180,6.9,80,23,12,7,133.0
246,366,67.2,3086,8.4,67,31,9,6,161.1
243,402,60.4,3055,7.6,80,18,8,15,135.1
236,391,60.4,2958,7.6,80,21,11,31,136.0
225,357,63.0,2946,8.3,67,27,12,25,150.6
234,422,55.5,2930,6.9,88,19,15,23,121.5
388,591,65.7,5052,8.5,81,41,10,27,157.0
329,496,66.3,4617,9.3,83,41,8,23,168.6
388,579,67.0,4593,7.9,65,41,17,17,151.1
443,633,70.0,4468,7.1,66,38,11,29,145.6
280,416,67.3,4363,10.5,87,37,7,18,181.4
382,620,61.6,4295,6.9,74,37,12,16,135.6
289,418,69.1,4129,9.9,98,45,9,14,183.3
284,448,63.4,4091,9.1,91,28,4,31,158.9
254,358,71.0,3965,11.1,88,40,8,18,196.4
304,446,68.2,3748,8.4,75,30,6,20,158.3
280,443,63.2,3698,8.3,84,32,10,33,152.7
244,394,61.9,3646,9.3,76,24,8,19,155.7
224,387,57.9,3614,9.3,80,29,8,23,156.9
319,469,68.0,3557,7.6,55,22,13,33,141.7
268,422,63.5,3552,8.4,62,29,8,32,153.1
230,409,56.2,3543,8.7,74,30,9,46,148.8
278,465,59.8,3540,7.6,85,23,16,37,133.2
263,377,69.8,3533,9.4,70,33,4,16,175.2
261,421,62.0,3532,8.4,77,27,7,25,150.3
245,401,61.1,3430,8.6,73,25,15,34,146.0
243,391,62.1,3430,8.8,75,43,9,25,167.5
237,434,54.6,3399,7.8,87,23,10,13,133.3
253,438,57.8,3362,7.7,79,19,17,28,128.8
295,517,57.1,3352,6.5,89,25,21,28,119.4
235,400,58.8,3350,8.4,92,20,7,34,142.1
259,435,59.5,3348,7.7,74,32,12,22,143.0
247,404,61.1,3328,8.2,71,26,10,25,146.6
230,395,58.2,3295,8.3,67,22,13,28,140.1
243,384,63.3,3272,8.5,93,24,11,19,149.8
262,414,63.3,3233,7.8,78,31,7,8,150.2
269,440,61.1,3208,7.3,75,17,13,28,129.2
209,373,56.0,3203,8.6,54,28,15,27,144.9
257,415,61.9,3184,7.7,78,19,10,24,136.7
280,478,58.6,3182,6.7,58,22,9,38,125.9
293,460,63.7,3180,6.9,80,23,12,7,133.0
246,366,67.2,3086,8.4,67,31,9,6,161.1
243,402,60.4,3055,7.6,80,18,8,15,135.1
236,391,60.4,2958,7.6,80,21,11,31,136.0
225,357,63.0,2946,8.3,67,27,12,25,150.6
234,422,55.5,2930,6.9,88,19,15,23,121.5
388,540,71.9,5055,9.4,78,48,9,15,176.5
383,569,67.3,4946,8.7,94,46,8,36,164.2
341,529,64.5,4719,8.9,80,43,13,26,161.3
364,573,63.5,4653,8.1,90,36,15,27,147.2
447,644,69.4,4561,7.1,75,38,8,37,145.9
331,521,63.5,4476,8.6,69,38,12,24,155.2
307,486,63.2,4368,9.0,76,28,12,32,152.7
305,485,62.9,4332,8.9,80,25,8,40,151.6
333,491,67.8,4104,8.4,67,35,13,15,156.3
298,458,65.1,4042,8.8,73,31,13,18,155.9
281,450,62.4,4033,9.0,72,27,8,19,154.0
327,490,66.7,4005,8.2,76,30,9,17,151.9
319,532,60.0,3860,7.3,93,30,9,37,136.1
324,489,66.3,3848,7.9,83,25,11,27,144.7
316,477,66.2,3793,8.0,63,29,5,32,151.0
296,443,66.8,3776,8.5,82,28,4,17,157.5
264,424,62.3,3770,8.9,82,21,9,30,149.1
269,395,68.1,3700,9.4,76,36,7,39,173.3
292,487,60.0,3670,7.5,70,23,11,15,134.3
257,396,64.9,3575,9.0,70,31,10,12,161.5
247,412,60.0,3573,8.7,72,27,7,9,151.0
298,446,66.8,3536,7.9,83,29,7,38,151.7
262,391,67.0,3522,9.0,80,29,9,31,162.5
244,370,65.9,3440,9.3,71,30,8,14,166.5
267,446,59.9,3377,7.6,84,23,10,30,136.0
273,430,63.5,3353,7.8,85,20,8,20,140.6
238,389,61.2,3238,8.3,67,16,5,16,142.1
221,403,54.8,3145,7.8,70,26,14,31,134.7
229,408,56.1,3131,7.7,74,24,7,18,136.6
263,393,66.9,3110,7.9,81,21,8,25,147.0
219,357,61.3,3072,8.6,89,24,10,15,150.2
222,402,55.2,3030,7.5,55,22,16,12,128.6
249,389,64.0,3017,7.8,64,20,9,17,141.5
248,391,63.4,2989,7.6,71,16,11,24,135.5
246,433,56.8,2973,6.9,75,19,8,18,125.3
280,449,62.4,2969,6.6,78,16,15,16,123.0
226,403,56.1,2965,7.4,88,23,10,4,131.7
233,368,63.3,2955,8.0,81,16,10,30,139.7
266,472,56.4,2919,6.2,62,16,13,26,114.0
211,335,63.0,2884,8.6,81,21,10,23,150.0
388,540,71.9,5055,9.4,78,48,9,15,176.5
383,569,67.3,4946,8.7,94,46,8,36,164.2
341,529,64.5,4719,8.9,80,43,13,26,161.3
364,573,63.5,4653,8.1,90,36,15,27,147.2
447,644,69.4,4561,7.1,75,38,8,37,145.9
331,521,63.5,4476,8.6,69,38,12,24,155.2
307,486,63.2,4368,9.0,76,28,12,32,152.7
305,485,62.9,4332,8.9,80,25,8,40,151.6
333,491,67.8,4104,8.4,67,35,13,15,156.3
298,458,65.1,4042,8.8,73,31,13,18,155.9
281,450,62.4,4033,9.0,72,27,8,19,154.0
327,490,66.7,4005,8.2,76,30,9,17,151.9
319,532,60.0,3860,7.3,93,30,9,37,136.1
324,489,66.3,3848,7.9,83,25,11,27,144.7
316,477,66.2,3793,8.0,63,29,5,32,151.0
296,443,66.8,3776,8.5,82,28,4,17,157.5
264,424,62.3,3770,8.9,82,21,9,30,149.1
269,395,68.1,3700,9.4,76,36,7,39,173.3
292,487,60.0,3670,7.5,70,23,11,15,134.3
257,396,64.9,3575,9.0,70,31,10,12,161.5
247,412,60.0,3573,8.7,72,27,7,9,151.0
298,446,66.8,3536,7.9,83,29,7,38,151.7
262,391,67.0,3522,9.0,80,29,9,31,162.5
244,370,65.9,3440,9.3,71,30,8,14,166.5
267,446,59.9,3377,7.6,84,23,10,30,136.0
273,430,63.5,3353,7.8,85,20,8,20,140.6
238,389,61.2,3238,8.3,67,16,5,16,142.1
221,403,54.8,3145,7.8,70,26,14,31,134.7
229,408,56.1,3131,7.7,74,24,7,18,136.6
263,393,66.9,3110,7.9,81,21,8,25,147.0
219,357,61.3,3072,8.6,89,24,10,15,150.2
222,402,55.2,3030,7.5,55,22,16,12,128.6
249,389,64.0,3017,7.8,64,20,9,17,141.5
248,391,63.4,2989,7.6,71,16,11,24,135.5
246,433,56.8,2973,6.9,75,19,8,18,125.3
280,449,62.4,2969,6.6,78,16,15,16,123.0
